Word,Frequency,Dominant Topic
articular,1,1
defining,1,1
constraint,1,1
those,1,1
fully,1,1
whereas,1,1
"interest,",1,1
mapping/forward,1,1
derivative.,1,1
deficiency,1,1
phenomena,1,1
local,1,1
classes,1,1
was,1,1
recognized,1,1
Simaan,1,1
–parallel,1,1
serial/in,1,2
hybrid,1,1
analyze,1,1
ideas,1,1
Shoham,1,1
al,1,1
Gosselin,1,1
et,1,1
Zlatanov,1,1
refined,1,1
subsequently,1,1
[2]and,1,1
Angeles,1,1
change,1,1
some,1,1
theta),1,1
CODE,1,1
characteristics.,1,1
specific,1,1
possessing,1,1
aspect,1,1
Another,1,1
effector.,1,1
fine,1,1
capacity,1,1
load-bearing,1,1
realised,1,1
small,1,1
movement,1,1
large,1,1
"configuration,",1,1
advantage:,1,1
V.,1,1
EXPLANATION,1,1
componen,1,1
written,1,1
d,1,1
alpha,1,1
(a,1,1
Homogeneous,1,1
"Tehran,",1,1
"a,b,c,d",1,1
"Iran,",1,1
],1,1
5th,1,1
Trans.m,1,1
output:,1,1
iA,1,1
1i,1,1
Input,1,1
Matlab,1,1
4)Mechanical,1,1
near,1,1
torques,1,1
forces,1,1
path,1,1
traverse,1,1
require,1,1
Rate,1,1
manipulators.,1,1
variety,1,1
control:,1,1
3)Loss,1,1
[6].,1,1
workspace,1,1
information,1,1
valuable,1,1
provides,1,1
knowledge,1,1
t,1,1
rate,1,1
determine,1,1
required,1,1
become,1,1
intolerable,1,1
well-adapted,1,1
"algorithms,",1,1
"Conversely,",1,1
great.,1,1
unsustainably,1,1
accelerations,1,1
means,1,1
fails,1,1
either,1,1
conditioned,1,2
ill-,1,1
"singularity,",1,1
(known),1,1
t4)*sin(t5)],1,1
